Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hello,Hello World!
You are nice,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=You are nice'>You are nice</a>
You are very nice,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=You are very nice'>You are very nice</a>
Hello,Hello World!
Hello,Hello World!
Do you know Sena?,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Do you know Sena?'>Do you know Sena?</a>
you are nice,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you are nice'>you are nice</a>
Hello,Hello World!
hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hi,Hello World!
How are you today?,I am a ChatBot running on Python and a dash of artificial intelligence.
who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
You are nice. ,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=You are nice. '>You are nice. </a>
Hello,Hello World!
Hi,Hello World!
What is your name?,ChatBot.
You are nice.,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=You are nice.'>You are nice.</a>
you are nice,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you are nice'>you are nice</a>
Who are you?,I am a Chatbot.
Hello,Hello World!
Hi,Hello World!
I like you,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I like you'>I like you</a>
Hello,Hi there!
Hello,Hi there!
Hello,Hi there!
Hello,Hi there!
Hi,Hello there!
Whats app,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Whats app'>Whats app</a>
Hey!,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hey!'>Hey!</a>
Hey,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hey'>Hey</a>
Got the time?,The time is now 6:38 PM EST
What time is it?,The time is now 6:39 PM EST
How are you,I am well. How are you?
Good,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
What is your name?,ChatBot.
Hello,It's nice to see you!
Hi,Hello there!
How are you,I am well. How are you?
Good,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good'>Good</a>
Hello,It's nice to see you!
Hello,It's nice to see you!
I like you,I like you too.
I don't like you,I'm sorry to hear that.
Hello,Hey!
Hello,Hello to you!
Hello,Hello to you!
You are nice,"Thanks, you seem nice too."
Hello,Hi there!
Hello,Hi there!
What are you doing?,I am a ChatBot
What is your name?,ChatBot.
Hello,Hi there!
Hello,Hello to you!
Who are you?,I am a ChatBot
What are you doing?,I am a ChatBot
Hello,Hello to you!
Hello,It's nice to see you!
Who are you?,I am a ChatBot
Hello,It's nice to see you!
Hello,Hey!
Who are you?,I am a ChatBot
What is your name?,ChatBot.
How are you?,I am well. How are you?
Hello,Hey!
How are you?,I am well. How are you?
Who is the america president?,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is the america president?'>Who is the america president?</a>
Hello,It's nice to see you!
Hello,It's nice to see you!
Hello,It's nice to see you!
What is your name?,ChatBot.
Hello,Hello to you!
Hello,It's nice to see you!
Hello,Hello to you!
Who is the presedentof america?,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is the presedentof america?'>Who is the presedentof america?</a>
Hello,Hi there!
Hello,Hello to you!
What is time?,"Today is Sunday, 1/10/2021"
Do you have the time,The time is now 1:28 AM EST
What time is it?,The time is now 1:29 AM EST
How are you?,I am well. How are you?
Hello,Hi there!
Hello,Hello to you!
Hi!,Hello there!
Got the time?,The time is now 1:31 AM EST
Who is the presedent of america?,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Who is the presedent of america?'>Who is the presedent of america?</a>
Hello,Hello to you!
Hello,Hello to you!
Hello,Hello to you!
Hello,Hi there!
Do you know Sena?,"Yes, football player."
Hello,Hey!
Hello,Hello to you!
Hello,It's nice to see you!
Hello,It's nice to see you!
